#,Pokemon,,,New Sprites,Sprites Set,Sprites,Type 1,Type 2,HP,Atk,Def,SpA,SpD,Spe,Total,AVG,Ability 1,Ability 2,Ability 3,Fully evolved,Generation
353,Shuppet,Shuppet,,,,,Ghost,,44,75,35,63,33,45,295,49.17,Insomnia,Frisk,Cursed Body,No,3
354,Banette,Banette,,,,,Ghost,,64,115,65,83,63,65,455,75.83,Insomnia,Frisk,Cursed Body,Yes,3
354,Mega Banette,Mega Banette,,,,,Ghost,,64,165,75,93,83,75,555,92.5,Prankster,,,Yes,6
355,Duskull,Duskull,,,,,Ghost,,20,40,90,30,90,25,295,49.17,Levitate,,Frisk,No,3
356,Dusclops,Dusclops,,,,,Ghost,,40,70,130,60,130,25,455,75.83,Pressure,,Frisk,No,3
357,Tropius,Tropius,,,,,Grass,Flying,99,68,83,72,87,51,460,76.67,Chlorophyll,Solar Power,Harvest,Yes,3
358,Chimecho,Chimecho,,,,,Psychic,,75,50,80,95,90,65,455,75.83,Levitate,,,Yes,3
359,Absol,Absol,,,,,Dark,,65,130,60,75,60,75,465,77.5,Pressure,Super Luck,Justified,Yes,3
359,Mega Absol,Mega Absol,,,,,Dark,,65,150,60,115,60,115,565,94.17,Magic Bounce,,,Yes,6
360,Wynaut,Wynaut,,,,,Psychic,,95,23,48,23,48,23,260,43.33,Shadow Tag,,Telepathy,No,3
361,Snorunt,Snorunt,,,,,Ice,,50,50,50,50,50,50,300,50,Inner Focus,Ice Body,Moody,No,3
362,Glalie,Glalie,,,,,Ice,,80,80,80,80,80,80,480,80,Inner Focus,Ice Body,Moody,Yes,3
362,Mega Glalie,Mega Glalie,,,,,Ice,,80,120,80,120,80,100,580,96.67,Refrigerate,,,Yes,6
363,Spheal,Spheal,,,,,Ice,Water,70,40,50,55,50,25,290,48.33,Thick Fat,Ice Body,Oblivious,No,3
364,Sealeo,Sealeo,,,,,Ice,Water,90,60,70,75,70,45,410,68.33,Thick Fat,Ice Body,Oblivious,No,3
365,Walrein,Walrein,,,,,Ice,Water,110,80,90,95,90,65,530,88.33,Thick Fat,Ice Body,Oblivious,Yes,3
366,Clamperl,Clamperl,,,,,Water,,35,64,85,74,55,32,345,57.5,Shell Armor,,Rattled,No,3
367,Huntail,Huntail,,,,,Water,,55,104,105,94,75,52,485,80.83,Swift Swim,,Water Veil,Yes,3
368,Gorebyss,Gorebyss,,,,,Water,,55,84,105,114,75,52,485,80.83,Swift Swim,,Hydration,Yes,3
369,Relicanth,Relicanth,,,,,Water,Rock,100,90,130,45,65,55,485,80.83,Swift Swim,Rock Head,Sturdy,Yes,3
370,Luvdisc,Luvdisc,,,,,Water,,43,30,55,40,65,97,330,55,Swift Swim,,Hydration,Yes,3
371,Bagon,Bagon,,,,,Dragon,,45,75,60,40,30,50,300,50,Rock Head,,Sheer Force,No,3
372,Shelgon,Shelgon,,,,,Dragon,,65,95,100,60,50,50,420,70,Rock Head,,Overcoat,No,3
373,Salamence,Salamence,,,,,Dragon,Flying,95,135,80,110,80,100,600,100,Intimidate,,Moxie,Yes,3
373,Mega Salamence,Mega Salamence,,,,,Dragon,Flying,95,145,130,120,90,120,700,116.67,Aerilate,,,Yes,6
374,Beldum,Beldum,,,,,Steel,Psychic,40,55,80,35,60,30,300,50,Clear Body,,Light Metal,No,3
375,Metang,Metang,,,,,Steel,Psychic,60,75,100,55,80,50,420,70,Clear Body,,Light Metal,No,3
376,Metagross,Metagross,,,,,Steel,Psychic,80,135,130,95,90,70,600,100,Clear Body,,Light Metal,Yes,3
376,Mega Metagross,Mega Metagross,,,,,Steel,Psychic,80,145,150,105,110,110,700,116.67,Tough Claws,,,Yes,6
377,Regirock,Regirock,,,,,Rock,,80,100,200,50,100,50,580,96.67,Clear Body,,Sturdy,Yes,3
378,Regice,Regice,,,,,Ice,,80,50,100,100,200,50,580,96.67,Clear Body,,Ice Body,Yes,3
379,Registeel,Registeel,,,,,Steel,,80,75,150,75,150,50,580,96.67,Clear Body,,Light Metal,Yes,3
380,Latias,Latias,,,,,Dragon,Psychic,80,80,90,110,130,110,600,100,Levitate,,,Yes,3
380,Mega Latias,Mega Latias,,,,,Dragon,Psychic,80,100,120,140,150,110,700,116.67,Levitate,,,Yes,6
381,Latios,Latios,,,,,Dragon,Psychic,80,90,80,130,110,110,600,100,Levitate,,,Yes,3
381,Mega Latios,Mega Latios,,,,,Dragon,Psychic,80,130,100,160,120,110,700,116.67,Levitate,,,Yes,6
382,Kyogre,Kyogre,,,,,Water,,100,100,90,150,140,90,670,111.67,Drizzle,,,Yes,3
382,Primal Kyogre,Primal Kyogre,,,,,Water,,100,150,90,180,160,90,770,128.33,Primordial Sea,,,Yes,6
383,Groudon,Groudon,,,,,Ground,,100,150,140,100,90,90,670,111.67,Drought,,,Yes,3
383,Primal Groudon,Primal Groudon,,,,,Ground,Fire,100,180,160,150,90,90,770,128.33,Desolate Land,,,Yes,6
384,Rayquaza,Rayquaza,,,,,Dragon,Flying,105,150,90,150,90,95,680,113.33,Air Lock,,,Yes,3
384,Mega Rayquaza,Mega Rayquaza,,,,,Dragon,Flying,105,180,100,180,100,115,780,130,Delta Stream,,,Yes,6
385,Jirachi,Jirachi,,,,,Steel,Psychic,100,100,100,100,100,100,600,100,Serene Grace,,,Yes,3
386,Deoxys,Deoxys,,,,,Psychic,,50,150,50,150,50,150,600,100,Pressure,,,Yes,3
386,Deoxys-Attack,Deoxys-Attack,,,,,Psychic,,50,180,20,180,20,150,600,100,Pressure,,,Yes,3
386,Deoxys-Defense,Deoxys-Defense,,,,,Psychic,,50,70,160,70,160,90,600,100,Pressure,,,Yes,3
386,Deoxys-Speed,Deoxys-Speed,,,,,Psychic,,50,95,90,95,90,180,600,100,Pressure,,,Yes,3
387,Turtwig,Turtwig,,,,,Grass,,55,68,64,45,55,31,318,53,Overgrow,,Shell Armor,No,4
388,Grotle,Grotle,,,,,Grass,,75,89,85,55,65,36,405,67.5,Overgrow,,Shell Armor,No,4
389,Torterra,Torterra,,,,,Grass,Ground,95,109,105,75,85,56,525,87.5,Overgrow,,Shell Armor,Yes,4
390,Chimchar,Chimchar,,,,,Fire,,44,58,44,58,44,61,309,51.5,Blaze,,Iron Fist,No,4
391,Monferno,Monferno,,,,,Fire,Fighting,64,78,52,78,52,81,405,67.5,Blaze,,Iron Fist,No,4
392,Infernape,Infernape,,,,,Fire,Fighting,76,104,71,104,71,108,534,89,Blaze,,Iron Fist,Yes,4
393,Piplup,Piplup,,,,,Water,,53,51,53,61,56,40,314,52.33,Torrent,,Defiant,No,4
394,Prinplup,Prinplup,,,,,Water,,64,66,68,81,76,50,405,67.5,Torrent,,Defiant,Yes,4
395,Empoleon,Empoleon,,,,,Water,Steel,84,86,88,111,101,60,530,88.33,Torrent,,Defiant,Yes,4
396,Starly,Starly,,,,,Normal,Flying,40,55,30,30,30,60,245,40.83,Keen Eye,,Reckless,No,4
397,Staravia,Staravia,,,,,Normal,Flying,55,75,50,40,40,80,340,56.67,Intimidate,,Reckless,No,4
398,Staraptor,Staraptor,,,,,Normal,Flying,85,120,70,50,60,100,485,80.83,Intimidate,,Reckless,Yes,4
399,Bidoof,Bidoof,,,,,Normal,,59,45,40,35,40,31,250,41.67,Simple,Unaware,Moody,No,4
400,Bibarel,Bibarel,,,,,Normal,Water,79,85,60,55,60,71,410,68.33,Simple,Unaware,Moody,Yes,4
401,Kricketot,Kricketot,,,,,Bug,,37,25,41,25,41,25,194,32.33,Shed Skin,,Run Away,No,4
402,Kricketune,Kricketune,,,,,Bug,,77,85,51,55,51,65,384,64,Swarm,,Technician,Yes,4
403,Shinx,Shinx,,,,,Electric,,45,65,34,40,34,45,263,43.83,Rivalry,Intimidate,Guts,No,4
404,Luxio,Luxio,,,,,Electric,,60,85,49,60,49,60,363,60.5,Rivalry,Intimidate,Guts,No,4
405,Luxray,Luxray,,,,,Electric,,80,120,79,95,79,70,523,87.17,Rivalry,Intimidate,Guts,Yes,4
406,Budew,Budew,,,,,Grass,Poison,40,30,35,50,70,55,280,46.67,Natural Cure,Poison Point,Leaf Guard,No,4
407,Roserade,Roserade,,,,,Grass,Poison,60,70,65,125,105,90,515,85.83,Natural Cure,Poison Point,Technician,Yes,4
408,Cranidos,Cranidos,,,,,Rock,,67,125,40,30,30,58,350,58.33,Mold Breaker,,Sheer Force,No,4
409,Rampardos,Rampardos,,,,,Rock,,97,165,60,65,50,58,495,82.5,Mold Breaker,,Sheer Force,Yes,4
410,Shieldon,Shieldon,,,,,Rock,Steel,30,42,118,42,88,30,350,58.33,Sturdy,,Soundproof,No,4
411,Bastiodon,Bastiodon,,,,,Rock,Steel,60,52,168,47,138,30,495,82.5,Sturdy,,Soundproof,Yes,4
412,Burmy,Burmy,,,,,Bug,,40,29,45,29,45,36,224,37.33,Shed Skin,,Overcoat,No,4
413,Wormadam,Wormadam,,,,,Bug,Grass,60,59,85,79,105,36,424,70.67,Shed Skin,,Overcoat,Yes,4
413,Wormadam-S,Wormadam-S,,,,,Bug,Ground,60,79,105,59,85,36,424,70.67,Shed Skin,,Overcoat,Yes,4
413,Wormadam-T,Wormadam-T,,,,,Bug,Steel,60,69,95,69,95,36,424,70.67,Shed Skin,,Overcoat,Yes,4
414,Mothim,Mothim,,,,,Bug,Flying,70,94,50,94,50,66,424,70.67,Swarm,,Tinted Lens,Yes,4
415,Combee,Combee,,,,,Bug,Flying,30,30,42,30,42,70,244,40.67,Honey Gather,,Hustle,No,4
416,Vespiquen,Vespiquen,,,,,Bug,Flying,70,80,102,80,102,40,474,79,Pressure,,Unnerve,Yes,4
417,Pachirisu,Pachirisu,,,,,Electric,,60,45,70,45,90,95,405,67.5,Run Away,Pickup,Volt Absorb,Yes,4
418,Buizel,Buizel,,,,,Water,,55,65,35,60,30,85,330,55,Swift Swim,,Water Veil,No,4
419,Floatzel,Floatzel,,,,,Water,,85,105,55,85,50,115,495,82.5,Swift Swim,,Water Veil,Yes,4
420,Cherubi,Cherubi,,,,,Grass,,45,35,45,62,53,35,275,45.83,Chlorophyll,,,No,4
421,Cherrim,Cherrim,,,,,Grass,,70,60,70,87,78,85,450,75,Flower Gift,,,Yes,4
421,Cherrim-Sunshine,Cherrim-Sunshine,,,,,Grass,,70,60,70,87,78,85,450,75,Flower Gift,,,Yes,4
422,Shellos,Shellos,,,,,Water,,76,48,48,57,62,34,325,54.17,Sticky Hold,Storm Drain,Sand Force,No,4
423,Gastrodon,Gastrodon,,,,,Water,Ground,111,83,68,92,82,39,475,79.17,Sticky Hold,Storm Drain,Sand Force,Yes,4
424,Ambipom,Ambipom,,,,,Normal,,75,100,66,60,66,115,482,80.33,Technician,Pickup,Skill Link,Yes,4
425,Drifloon,Drifloon,,,,,Ghost,Flying,90,50,34,60,44,70,348,58,Aftermath,Unburden,Flare Boost,No,4
426,Drifblim,Drifblim,,,,,Ghost,Flying,150,80,44,90,54,80,498,83,Aftermath,Unburden,Flare Boost,Yes,4
427,Buneary,Buneary,,,,,Normal,,55,66,44,44,56,85,350,58.33,Run Away,Klutz,Limber,No,4
428,Lopunny,Lopunny,,,,,Normal,,65,76,84,54,96,105,480,80,Cute Charm,Klutz,Limber,Yes,4
428,Mega Lopunny,Mega Lopunny,,,,,Normal,Fighting,65,136,94,54,96,135,580,96.67,Scrappy,,,Yes,6
429,Mismagius,Mismagius,,,,,Ghost,,60,60,60,105,105,105,495,82.5,Levitate,,,Yes,4
430,Honchkrow,Honchkrow,,,,,Dark,Flying,100,125,52,105,52,71,505,84.17,Insomnia,Super Luck,Moxie,Yes,4
431,Glameow,Glameow,,,,,Normal,,49,55,42,42,37,85,310,51.67,Limber,Own Tempo,Keen Eye,No,4
432,Purugly,Purugly,,,,,Normal,,71,82,64,64,59,112,452,75.33,Thick Fat,Own Tempo,Defiant,Yes,4
433,Chingling,Chingling,,,,,Psychic,,45,30,50,65,50,45,285,47.5,Levitate,,,No,4
434,Stunky,Stunky,,,,,Poison,Dark,63,63,47,41,41,74,329,54.83,Stench,Aftermath,Keen Eye,No,4
435,Skuntank,Skuntank,,,,,Poison,Dark,103,93,67,71,61,84,479,79.83,Stench,Aftermath,Keen Eye,Yes,4
436,Bronzor,Bronzor,,,,,Steel,Psychic,57,24,86,24,86,23,300,50,Levitate,Heatproof,Heavy Metal,No,4
437,Bronzong,Bronzong,,,,,Steel,Psychic,67,89,116,79,116,33,500,83.33,Levitate,Heatproof,Heavy Metal,Yes,4
438,Bonsly,Bonsly,,,,,Rock,,50,80,95,10,45,10,290,48.33,Sturdy,Rock Head,Rattled,No,4
439,Mime Jr.,Mime Jr.,,,,,Psychic,Fairy,20,25,45,70,90,60,310,51.67,Soundproof,Filter,Technician,No,4
440,Happiny,Happiny,,,,,Normal,,100,5,5,15,65,30,220,36.67,Natural Cure,Serene Grace,Friend Guard,No,4
441,Chatot,Chatot,,,,,Normal,Flying,76,65,45,92,42,91,411,68.5,Keen Eye,Tangled Feet,Big Pecks,Yes,4
442,Spiritomb,Spiritomb,,,,,Dark,Ghost,50,92,108,92,108,35,485,80.83,Pressure,,Infiltrator,Yes,4
443,Gible,Gible,,,,,Dragon,Ground,58,70,45,40,45,42,300,50,Sand Veil,,Rough Skin,No,4
444,Gabite,Gabite,,,,,Dragon,Ground,68,90,65,50,55,82,410,68.33,Sand Veil,,Rough Skin,No,4
445,Garchomp,Garchomp,,,,,Dragon,Ground,108,130,95,80,85,102,600,100,Sand Veil,,Rough Skin,Yes,4
445,Mega Garchomp,Mega Garchomp,,,,,Dragon,Ground,108,170,115,120,95,92,700,116.67,Sand Force,,,Yes,6
446,Munchlax,Munchlax,,,,,Normal,,135,85,40,40,85,5,390,65,Pickup,Thick Fat,Gluttony,No,4
447,Riolu,Riolu,,,,,Fighting,,40,70,40,35,40,60,285,47.5,Steadfast,Inner Focus,Prankster,No,4
448,Lucario,Lucario,,,,,Fighting,Steel,70,110,70,115,70,90,525,87.5,Steadfast,Inner Focus,Justified,Yes,4
448,Mega Lucario,Mega Lucario,,,,,Fighting,Steel,70,145,88,140,70,112,625,104.17,Adaptability,,,Yes,6
449,Hippopotas,Hippopotas,,,,,Ground,,68,72,78,38,42,32,330,55,Sand Stream,,Sand Force,No,4
450,Hippowdon,Hippowdon,,,,,Ground,,108,112,118,68,72,47,525,87.5,Sand Stream,,Sand Force,Yes,4
451,Skorupi,Skorupi,,,,,Poison,Bug,40,50,90,30,55,65,330,55,Battle Armor,Sniper,Keen Eye,No,4
452,Drapion,Drapion,,,,,Poison,Dark,70,90,110,60,75,95,500,83.33,Battle Armor,Sniper,Keen Eye,Yes,4
453,Croagunk,Croagunk,,,,,Poison,Fighting,48,61,40,61,40,50,300,50,Anticipation,Dry Skin,Poison Touch,No,4
454,Toxicroak,Toxicroak,,,,,Poison,Fighting,83,106,65,86,65,85,490,81.67,Anticipation,Dry Skin,Poison Touch,Yes,4
455,Carnivine,Carnivine,,,,,Grass,,74,100,72,90,72,46,454,75.67,Levitate,,,Yes,4
456,Finneon,Finneon,,,,,Water,,49,49,56,49,61,66,330,55,Swift Swim,Storm Drain,Water Veil,No,4
457,Lumineon,Lumineon,,,,,Water,,69,69,76,69,86,91,460,76.67,Swift Swim,Storm Drain,Water Veil,Yes,4
458,Mantyke,Mantyke,,,,,Water,Flying,45,20,50,60,120,50,345,57.5,Swift Swim,Water Absorb,Water Veil,No,4
459,Snover,Snover,,,,,Grass,Ice,60,62,50,62,60,40,334,55.67,Snow Warning,,Soundproof,No,4
460,Abomasnow,Abomasnow,,,,,Grass,Ice,90,92,75,92,85,60,494,82.33,Snow Warning,,Soundproof,Yes,4
460,Mega Abomasnow,Mega Abomasnow,,,,,Grass,Ice,90,132,105,132,105,30,594,99,Snow Warning,,,Yes,6
461,Weavile,Weavile,,,,,Dark,Ice,70,120,65,45,85,125,510,85,Pressure,,Pickpocket,Yes,4
462,Magnezone,Magnezone,,,,,Electric,Steel,70,70,115,130,90,60,535,89.17,Magnet Pull,Sturdy,Analytic,Yes,4
463,Lickilicky,Lickilicky,,,,,Normal,,110,85,95,80,95,50,515,85.83,Own Tempo,Oblivious,Cloud Nine,Yes,4
464,Rhyperior,Rhyperior,,,,,Rock,Ground,115,140,130,55,55,40,535,89.17,Lightning Rod,Solid Rock,Reckless,Yes,4
465,Tangrowth,Tangrowth,,,,,Grass,,100,100,125,110,50,50,535,89.17,Chlorophyll,Leaf Guard,Regenerator,Yes,4
466,Electivire,Electivire,,,,,Electric,,75,123,67,95,85,95,540,90,Motor Drive,,Vital Spirit,Yes,4
467,Magmortar,Magmortar,,,,,Fire,,75,95,67,125,95,83,540,90,Flame Body,,Vital Spirit,Yes,4
468,Togekiss,Togekiss,,,,,Fairy,Flying,85,50,95,120,115,80,545,90.83,Hustle,Serene Grace,Super Luck,Yes,4
469,Yanmega,Yanmega,,,,,Bug,Flying,86,76,86,116,56,95,515,85.83,Speed Boost,Tinted Lens,Frisk,Yes,4
470,Leafeon,Leafeon,,,,,Grass,,65,110,130,60,65,95,525,87.5,Leaf Guard,,Chlorophyll,Yes,4
471,Glaceon,Glaceon,,,,,Ice,,65,60,110,130,95,65,525,87.5,Snow Cloak,,Ice Body,Yes,4
472,Gliscor,Gliscor,,,,,Ground,Flying,75,95,125,45,75,95,510,85,Hyper Cutter,Sand Veil,Poison Heal,Yes,4
473,Mamoswine,Mamoswine,,,,,Ice,Ground,110,130,80,70,60,80,530,88.33,Oblivious,Snow Cloak,Thick Fat,Yes,4
474,Porygon-Z,Porygon-Z,,,,,Normal,,85,80,70,135,75,90,535,89.17,Adaptability,Download,Analytic,Yes,4
475,Gallade,Gallade,,,,,Psychic,Fighting,68,125,65,65,115,80,518,86.33,Steadfast,,Justified,Yes,4
475,Mega Gallade,Mega Gallade,,,,,Psychic,Fighting,68,165,95,65,115,110,618,103,Inner Focus,,,Yes,6
476,Probopass,Probopass,,,,,Rock,Steel,60,55,145,75,150,40,525,87.5,Sturdy,Magnet Pull,Sand Force,Yes,4
477,Dusknoir,Dusknoir,,,,,Ghost,,45,100,135,65,135,45,525,87.5,Pressure,,Frisk,Yes,4
478,Froslass,Froslass,,,,,Ice,Ghost,70,80,70,80,70,110,480,80,Snow Cloak,,Cursed Body,Yes,4
479,Rotom,Rotom,,,,,Electric,Ghost,50,50,77,95,77,91,440,73.33,Levitate,,,Yes,4
479,Rotom-Heat,Rotom-Heat,,,,,Electric,Fire,50,65,107,105,107,86,520,86.67,Levitate,,,Yes,4
479,Rotom-Wash,Rotom-Wash,,,,,Electric,Water,50,65,107,105,107,86,520,86.67,Levitate,,,Yes,4
479,Rotom-Frost,Rotom-Frost,,,,,Electric,Ice,50,65,107,105,107,86,520,86.67,Levitate,,,Yes,4
479,Rotom-Fan,Rotom-Fan,,,,,Electric,Flying,50,65,107,105,107,86,520,86.67,Levitate,,,Yes,4
479,Rotom-Mow,Rotom-Mow,,,,,Electric,Grass,50,65,107,105,107,86,520,86.67,Levitate,,,Yes,4
480,Uxie,Uxie,,,,,Psychic,,75,75,130,75,130,95,580,96.67,Levitate,,,Yes,4
481,Mesprit,Mesprit,,,,,Psychic,,80,105,105,105,105,80,580,96.67,Levitate,,,Yes,4
482,Azelf,Azelf,,,,,Psychic,,75,125,70,125,70,115,580,96.67,Levitate,,,Yes,4
483,Dialga,Dialga,,,,,Steel,Dragon,100,120,120,150,100,90,680,113.33,Pressure,,Telepathy,Yes,4
483,Dialga-Origin,Dialga-Origin,,,,,Steel,Dragon,100,100,120,150,120,90,680,113.33,Pressure,,Telepathy,Yes,9
484,Palkia,Palkia,,,,,Water,Dragon,90,120,100,150,120,100,680,113.33,Pressure,,Telepathy,Yes,4
484,Palkia-Origin,Palkia-Origin,,,,,Water,Dragon,90,100,100,150,120,120,680,113.33,Pressure,,Telepathy,Yes,9
485,Heatran,Heatran,,,,,Fire,Steel,91,90,106,130,106,77,600,100,Flash Fire,,Flame Body,Yes,4
486,Regigigas,Regigigas,,,,,Normal,,110,160,110,80,110,100,670,111.67,Slow Start,,,Yes,4
487,Giratina,Giratina,,,,,Ghost,Dragon,150,100,120,100,120,90,680,113.33,Pressure,,Telepathy,Yes,4
487,Giratina-Origin,Giratina-Origin,,,,,Ghost,Dragon,150,120,100,120,100,90,680,113.33,Levitate,,,Yes,4
488,Cresselia,Cresselia,,,,,Psychic,,120,70,120,75,130,85,600,100,Levitate,,,Yes,4
489,Phione,Phione,,,,,Water,,80,80,80,80,80,80,480,80,Hydration,,,Yes,4
490,Manaphy,Manaphy,,,,,Water,,100,100,100,100,100,100,600,100,Hydration,,,Yes,4
491,Darkrai,Darkrai,,,,,Dark,,70,90,90,135,90,125,600,100,Bad Dreams,,,Yes,4
492,Shaymin,Shaymin,,,,,Grass,,100,100,100,100,100,100,600,100,Natural Cure,,,Yes,4
492,Shaymin-Sky,Shaymin-Sky,,,,,Grass,,100,103,75,120,75,127,600,100,Serene Grace,,,Yes,4
493,Arceus,Arceus,,,,,Normal,,120,120,120,120,120,120,720,120,Multitype,,,Yes,4
493,Arceus-Bug,Arceus-Bug,,,,,Bug,,120,120,120,120,120,120,720,120,Multitype,,,Yes,4
493,Arceus-Dark,Arceus-Dark,,,,,Dark,,120,120,120,120,120,120,720,120,Multitype,,,Yes,4
493,Arceus-Dragon,Arceus-Dragon,,,,,Dragon,,120,120,120,120,120,120,720,120,Multitype,,,Yes,4
493,Arceus-Electric,Arceus-Electric,,,,,Electric,,120,120,120,120,120,120,720,120,Multitype,,,Yes,4
493,Arceus-Fairy,Arceus-Fairy,,,,,Fairy,,120,120,120,120,120,120,720,120,Multitype,,,Yes,4
493,Arceus-Fire,Arceus-Fire,,,,,Fire,,120,120,120,120,120,120,720,120,Multitype,,,Yes,4
493,Arceus-Flying,Arceus-Flying,,,,,Flying,,120,120,120,120,120,120,720,120,Multitype,,,Yes,4
493,Arceus-Ghost,Arceus-Ghost,,,,,Ghost,,120,120,120,120,120,120,720,120,Multitype,,,Yes,4
493,Arceus-Grass,Arceus-Grass,,,,,Grass,,120,120,120,120,120,120,720,120,Multitype,,,Yes,4
493,Arceus-Ground,Arceus-Ground,,,,,Ground,,120,120,120,120,120,120,720,120,Multitype,,,Yes,4
493,Arceus-Ice,Arceus-Ice,,,,,Ice,,120,120,120,120,120,120,720,120,Multitype,,,Yes,4
493,Arceus-Poison,Arceus-Poison,,,,,Poison,,120,120,120,120,120,120,720,120,Multitype,,,Yes,4
493,Arceus-Psychic,Arceus-Psychic,,,,,Psychic,,120,120,120,120,120,120,720,120,Multitype,,,Yes,4
493,Arceus-Rock,Arceus-Rock,,,,,Rock,,120,120,120,120,120,120,720,120,Multitype,,,Yes,4
493,Arceus-Steel,Arceus-Steel,,,,,Steel,,120,120,120,120,120,120,720,120,Multitype,,,Yes,4
493,Arceus-Water,Arceus-Water,,,,,Water,,120,120,120,120,120,120,720,120,Multitype,,,Yes,4
494,Victini,Victini,,,,,Psychic,Fire,100,100,100,100,100,100,600,100,Victory Star,,,Yes,5
495,Snivy,Snivy,,,,,Grass,,45,45,55,45,55,63,308,51.33,Overgrow,,Contrary,No,5
496,Servine,Servine,,,,,Grass,,60,60,75,60,75,83,413,68.83,Overgrow,,Contrary,No,5
497,Serperior,Serperior,,,,,Grass,,75,75,95,75,95,113,528,88,Overgrow,,Contrary,Yes,5
498,Tepig,Tepig,,,,,Fire,,65,63,45,45,45,45,308,51.33,Blaze,,Thick Fat,No,5
499,Pignite,Pignite,,,,,Fire,Fighting,90,93,55,70,55,55,418,69.67,Blaze,,Thick Fat,No,5
500,Emboar,Emboar,,,,,Fire,Fighting,110,123,65,100,65,65,528,88,Blaze,,Reckless,Yes,5
501,Oshawott,Oshawott,,,,,Water,,55,55,45,63,45,45,308,51.33,Torrent,,Shell Armor,No,5
502,Dewott,Dewott,,,,,Water,,75,75,60,83,60,60,413,68.83,Torrent,,Shell Armor,No,5
503,Samurott,Samurott,,,,,Water,,95,100,85,108,70,70,528,88,Torrent,,Shell Armor,Yes,5
503,Hisuian Samurott,Hisuian Samurott,,,,,Water,Dark,90,108,80,100,65,85,528,88,Torrent,,Sharpness,Yes,9
504,Patrat,Patrat,,,,,Normal,,45,55,39,35,39,42,255,42.5,Run Away,Keen Eye,Analytic,No,5
505,Watchog,Watchog,,,,,Normal,,60,85,69,60,69,77,420,70,Illuminate,Keen Eye,Analytic,Yes,5
506,Lillipup,Lillipup,,,,,Normal,,45,60,45,25,45,55,275,45.83,Vital Spirit,Pickup,Run Away,No,5
507,Herdier,Herdier,,,,,Normal,,65,80,65,35,65,60,370,61.67,Intimidate,Sand Rush,Scrappy,No,5
508,Stoutland,Stoutland,,,,,Normal,,85,110,90,45,90,80,500,83.33,Intimidate,Sand Rush,Scrappy,Yes,5
509,Purrloin,Purrloin,,,,,Dark,,41,50,37,50,37,66,281,46.83,Limber,Unburden,Prankster,No,5
510,Liepard,Liepard,,,,,Dark,,64,88,50,88,50,106,446,74.33,Limber,Unburden,Prankster,Yes,5
511,Pansage,Pansage,,,,,Grass,,50,53,48,53,48,64,316,52.67,Gluttony,,Overgrow,No,5
512,Simisage,Simisage,,,,,Grass,,75,98,63,98,63,101,498,83,Gluttony,,Overgrow,Yes,5
513,Pansear,Pansear,,,,,Fire,,50,53,48,53,48,64,316,52.67,Gluttony,,Blaze,No,5
514,Simisear,Simisear,,,,,Fire,,75,98,63,98,63,101,498,83,Gluttony,,Blaze,Yes,5
515,Panpour,Panpour,,,,,Water,,50,53,48,53,48,64,316,52.67,Gluttony,,Torrent,No,5
516,Simipour,Simipour,,,,,Water,,75,98,63,98,63,101,498,83,Gluttony,,Torrent,Yes,5
517,Munna,Munna,,,,,Psychic,,76,25,45,67,55,24,292,48.67,Forewarn,Synchronize,Telepathy,No,5
518,Musharna,Musharna,,,,,Psychic,,116,55,85,107,95,29,487,81.17,Forewarn,Synchronize,Telepathy,Yes,5
519,Pidove,Pidove,,,,,Normal,Flying,50,55,50,36,30,43,264,44,Big Pecks,Super Luck,Rivalry,No,5
520,Tranquill,Tranquill,,,,,Normal,Flying,62,77,62,50,42,65,358,59.67,Big Pecks,Super Luck,Rivalry,No,5
521,Unfezant,Unfezant,,,,,Normal,Flying,80,115,80,65,55,93,488,81.33,Big Pecks,Super Luck,Rivalry,Yes,5
522,Blitzle,Blitzle,,,,,Electric,,45,60,32,50,32,76,295,49.17,Lightning Rod,Motor Drive,Sap Sipper,No,5
523,Zebstrika,Zebstrika,,,,,Electric,,75,100,63,80,63,116,497,82.83,Lightning Rod,Motor Drive,Sap Sipper,Yes,5
524,Roggenrola,Roggenrola,,,,,Rock,,55,75,85,25,25,15,280,46.67,Sturdy,Weak Armor,Sand Force,No,5
525,Boldore,Boldore,,,,,Rock,,70,105,105,50,40,20,390,65,Sturdy,Weak Armor,Sand Force,No,5
526,Gigalith,Gigalith,,,,,Rock,,85,135,130,60,80,25,515,85.83,Sturdy,Sand Stream,Sand Force,Yes,5
527,Woobat,Woobat,,,,,Psychic,Flying,65,45,43,55,43,72,323,53.83,Unaware,Klutz,Simple,No,5
528,Swoobat,Swoobat,,,,,Psychic,Flying,67,57,55,77,55,114,425,70.83,Unaware,Klutz,Simple,Yes,5
529,Drilbur,Drilbur,,,,,Ground,,60,85,40,30,45,68,328,54.67,Sand Rush,Sand Force,Mold Breaker,No,5
530,Excadrill,Excadrill,,,,,Ground,Steel,110,135,60,50,65,88,508,84.67,Sand Rush,Sand Force,Mold Breaker,Yes,5
531,Audino,Audino,,,,,Normal,,103,60,86,60,86,50,445,74.17,Healer,Regenerator,Klutz,Yes,5
531,Mega Audino,Mega Audino,,,,,Normal,Fairy,103,60,126,80,126,50,545,90.83,Healer,,,Yes,6
532,Timburr,Timburr,,,,,Fighting,,75,80,55,25,35,35,305,50.83,Guts,Sheer Force,Iron Fist,No,5
